"year","em","month","sector","global_total","units"
2040,"CO2",4,"NEGCO2",0,"kt"
2040,"CO2",5,"NEGCO2",0,"kt"
2040,"CO2",6,"NEGCO2",0,"kt"
2040,"CO2",7,"NEGCO2",0,"kt"
2040,"CO2",8,"NEGCO2",0,"kt"
2040,"CO2",9,"NEGCO2",0,"kt"
2040,"CO2",10,"NEGCO2",0,"kt"
2040,"CO2",11,"NEGCO2",0,"kt"
2040,"CO2",12,"NEGCO2",0,"kt"
2050,"CO2",1,"AGR",0,"kt"
2050,"CO2",2,"AGR",0,"kt"
2050,"CO2",3,"AGR",0,"kt"
2050,"CO2",4,"AGR",0,"kt"
2050,"CO2",5,"AGR",0,"kt"
2050,"CO2",6,"AGR",0,"kt"
2050,"CO2",7,"AGR",0,"kt"
2050,"CO2",8,"AGR",0,"kt"
2050,"CO2",9,"AGR",0,"kt"
2050,"CO2",10,"AGR",0,"kt"
2050,"CO2",11,"AGR",0,"kt"
2050,"CO2",12,"AGR",0,"kt"
2050,"CO2",1,"ENE",1385697.95708711,"kt"
2050,"CO2",2,"ENE",1213750.34188642,"kt"
2050,"CO2",3,"ENE",1315184.13154495,"kt"
2050,"CO2",4,"ENE",1250125.4413564,"kt"
2050,"CO2",5,"ENE",1282359.57297997,"kt"
2050,"CO2",6,"ENE",1246779.626686,"kt"
2050,"CO2",7,"ENE",1301499.47409699,"kt"
2050,"CO2",8,"ENE",1296206.43281321,"kt"
2050,"CO2",9,"ENE",1236893.00723821,"kt"
2050,"CO2",10,"ENE",1290938.51359834,"kt"
2050,"CO2",11,"ENE",1271419.30753674,"kt"
2050,"CO2",12,"ENE",1367890.54367239,"kt"
2050,"CO2",1,"IND",1075347.22074873,"kt"
2050,"CO2",2,"IND",976634.850100336,"kt"
2050,"CO2",3,"IND",1032173.04663648,"kt"
2050,"CO2",4,"IND",1010348.90495784,"kt"
2050,"CO2",5,"IND",982229.479409727,"kt"
2050,"CO2",6,"IND",938257.750372811,"kt"
2050,"CO2",7,"IND",944982.382874127,"kt"
2050,"CO2",8,"IND",969533.008718571,"kt"
2050,"CO2",9,"IND",926785.987321242,"kt"
2050,"CO2",10,"IND",1006780.10525417,"kt"
2050,"CO2",11,"IND",1004613.02343206,"kt"
2050,"CO2",12,"IND",1081274.29832537,"kt"
2050,"CO2",1,"TRA",849481.452513071,"kt"
2050,"CO2",2,"TRA",767273.570011806,"kt"
2050,"CO2",3,"TRA",849481.452513071,"kt"
2050,"CO2",4,"TRA",822078.825012649,"kt"
2050,"CO2",5,"TRA",849481.452513071,"kt"
2050,"CO2",6,"TRA",822078.825012649,"kt"
2050,"CO2",7,"TRA",849481.452513071,"kt"
2050,"CO2",8,"TRA",849481.452513071,"kt"
2050,"CO2",9,"TRA",822078.825012649,"kt"
2050,"CO2",10,"TRA",849481.452513071,"kt"
2050,"CO2",11,"TRA",822078.825012649,"kt"
2050,"CO2",12,"TRA",849481.452513071,"kt"
2050,"CO2",1,"RCO",321314.989221423,"kt"
2050,"CO2",2,"RCO",260617.298902358,"kt"
2050,"CO2",3,"RCO",253162.862323873,"kt"
2050,"CO2",4,"RCO",203272.560446384,"kt"
2050,"CO2",5,"RCO",197942.612010753,"kt"
2050,"CO2",6,"RCO",189769.948594708,"kt"
2050,"CO2",7,"RCO",198272.437513099,"kt"
2050,"CO2",8,"RCO",197327.764324862,"kt"
2050,"CO2",9,"RCO",189320.986163562,"kt"
2050,"CO2",10,"RCO",206927.645348181,"kt"
2050,"CO2",11,"RCO",235953.572497311,"kt"
2050,"CO2",12,"RCO",307866.212086545,"kt"
2050,"CO2",1,"SLV",4294.41698242324,"kt"
2050,"CO2",2,"SLV",3878.82824218873,"kt"
2050,"CO2",3,"SLV",4294.41698242324,"kt"
2050,"CO2",4,"SLV",4155.88740234507,"kt"
2050,"CO2",5,"SLV",4294.41698242324,"kt"
2050,"CO2",6,"SLV",4155.88740234507,"kt"
2050,"CO2",7,"SLV",4294.41698242324,"kt"
2050,"CO2",8,"SLV",4294.41698242324,"kt"
2050,"CO2",9,"SLV",4155.88740234507,"kt"
2050,"CO2",10,"SLV",4294.41698242324,"kt"
2050,"CO2",11,"SLV",4155.88740234507,"kt"
2050,"CO2",12,"SLV",4294.41698242324,"kt"
2050,"CO2",1,"WST",11077.43983475,"kt"
2050,"CO2",2,"WST",10005.4295281613,"kt"
2050,"CO2",3,"WST",11077.43983475,"kt"
2050,"CO2",4,"WST",10720.1030658871,"kt"
2050,"CO2",5,"WST",11077.43983475,"kt"
2050,"CO2",6,"WST",10720.1030658871,"kt"
2050,"CO2",7,"WST",11077.43983475,"kt"
2050,"CO2",8,"WST",11077.43983475,"kt"
2050,"CO2",9,"WST",10720.1030658871,"kt"
2050,"CO2",10,"WST",11077.43983475,"kt"
2050,"CO2",11,"WST",10720.1030658871,"kt"
2050,"CO2",12,"WST",11077.43983475,"kt"
2050,"CO2",1,"SHP",84142.0418686216,"kt"
